Origin,Destination,FlightNumber,DepartureDate,bookedPax,capacity,DepartureTime,Lid,adjustedCapacity,tbf_bookings
BLR,DEL,1336,2024-01-27,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-27,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-28,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-28,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-29,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-29,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-30,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-30,0,174,10:00,174,174,0
BLR,DEL,1336,2024-01-31,0,174,10:00,174,174,0
BLR,DEL,1359,2024-01-31,0,174,10:00,174,174,0
BLR,GAU,1323,2023-08-01,8,189,10:00,189,189,0
BLR,GAU,1134,2023-08-01,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-02,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-02,2,189,10:00,189,189,0
BLR,GAU,1134,2023-08-03,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-03,15,189,10:00,189,189,0
BLR,GAU,1323,2023-08-04,7,189,10:00,189,189,0
BLR,GAU,1134,2023-08-04,32,189,10:00,189,189,0
BLR,GAU,1134,2023-08-05,32,189,10:00,189,189,0
BLR,GAU,1323,2023-08-05,9,189,10:00,189,189,0
BLR,GAU,1323,2023-08-06,10,189,10:00,189,189,0
BLR,GAU,1134,2023-08-06,33,189,10:00,189,189,0
BLR,GAU,1134,2023-08-07,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-07,5,189,10:00,189,189,0
BLR,GAU,1323,2023-08-08,7,189,10:00,189,189,0
BLR,GAU,1134,2023-08-08,31,189,10:00,189,189,0
BLR,GAU,1134,2023-08-09,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-09,6,189,10:00,189,189,0
BLR,GAU,1323,2023-08-10,9,189,10:00,189,189,0
BLR,GAU,1134,2023-08-10,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-11,1,189,10:00,189,189,0
BLR,GAU,1134,2023-08-11,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-12,7,189,10:00,189,189,0
BLR,GAU,1134,2023-08-12,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-13,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-13,6,189,10:00,189,189,0
BLR,GAU,1323,2023-08-14,1,189,10:00,189,189,0
BLR,GAU,1134,2023-08-14,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-15,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-15,2,189,10:00,189,189,0
BLR,GAU,1323,2023-08-16,0,189,10:00,189,189,0
BLR,GAU,1134,2023-08-16,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-17,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-17,8,189,10:00,189,189,0
BLR,GAU,1323,2023-08-18,1,189,10:00,189,189,0
BLR,GAU,1134,2023-08-18,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-19,5,189,10:00,189,189,0
BLR,GAU,1134,2023-08-19,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-20,1,189,10:00,189,189,0
BLR,GAU,1134,2023-08-20,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-21,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-21,0,189,10:00,189,189,0
BLR,GAU,1323,2023-08-22,3,189,10:00,189,189,0
BLR,GAU,1134,2023-08-22,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-23,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-23,0,189,10:00,189,189,0
BLR,GAU,1323,2023-08-24,1,189,10:00,189,189,0
BLR,GAU,1134,2023-08-24,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-25,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-25,0,189,10:00,189,189,0
BLR,GAU,1323,2023-08-26,2,189,10:00,189,189,0
BLR,GAU,1134,2023-08-26,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-27,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-27,1,189,10:00,189,189,0
BLR,GAU,1323,2023-08-28,4,189,10:00,189,189,0
BLR,GAU,1134,2023-08-28,30,189,10:00,189,189,0
BLR,GAU,1134,2023-08-29,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-29,2,189,10:00,189,189,0
BLR,GAU,1323,2023-08-30,0,189,10:00,189,189,0
BLR,GAU,1134,2023-08-30,30,189,10:00,189,189,0
BLR,GAU,1323,2023-08-31,4,189,10:00,189,189,0
BLR,GAU,1134,2023-08-31,30,189,10:00,189,189,0
BLR,GAU,1323,2023-09-01,4,189,10:00,189,189,0
BLR,GAU,1134,2023-09-01,22,189,10:00,189,189,0
BLR,GAU,1134,2023-09-02,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-02,7,189,10:00,189,189,0
BLR,GAU,1323,2023-09-03,3,189,10:00,189,189,0
BLR,GAU,1134,2023-09-03,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-04,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-04,1,189,10:00,189,189,0
BLR,GAU,1323,2023-09-05,0,189,10:00,189,189,0
BLR,GAU,1134,2023-09-05,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-06,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-06,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-07,1,189,10:00,189,189,0
BLR,GAU,1134,2023-09-07,30,189,10:00,189,189,0
BLR,GAU,1134,2023-09-08,21,189,10:00,189,189,0
BLR,GAU,1323,2023-09-08,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-09,0,189,10:00,189,189,0
BLR,GAU,1134,2023-09-09,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-10,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-10,3,189,10:00,189,189,0
BLR,GAU,1323,2023-09-11,0,189,10:00,189,189,0
BLR,GAU,1134,2023-09-11,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-12,23,189,10:00,189,189,0
BLR,GAU,1323,2023-09-12,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-13,0,189,10:00,189,189,0
BLR,GAU,1134,2023-09-13,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-14,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-14,4,189,10:00,189,189,0
BLR,GAU,1323,2023-09-15,2,189,10:00,189,189,0
BLR,GAU,1134,2023-09-15,30,189,10:00,189,189,0
BLR,GAU,1134,2023-09-16,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-16,7,189,10:00,189,189,0
BLR,GAU,1134,2023-09-17,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-17,5,189,10:00,189,189,0
BLR,GAU,1323,2023-09-18,3,189,10:00,189,189,0
BLR,GAU,1134,2023-09-18,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-19,30,189,10:00,189,189,0
BLR,GAU,1323,2023-09-19,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-20,4,189,10:00,189,189,0
BLR,GAU,1134,2023-09-20,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-21,0,189,10:00,189,189,0
BLR,GAU,1134,2023-09-21,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-22,30,189,10:00,189,189,0
BLR,GAU,1323,2023-09-22,1,189,10:00,189,189,0
BLR,GAU,1323,2023-09-23,4,189,10:00,189,189,0
BLR,GAU,1134,2023-09-23,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-24,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-24,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-25,5,189,10:00,189,189,0
BLR,GAU,1134,2023-09-25,20,189,10:00,189,189,0
BLR,GAU,1323,2023-09-26,3,189,10:00,189,189,0
BLR,GAU,1134,2023-09-26,30,189,10:00,189,189,0
BLR,GAU,1134,2023-09-27,21,189,10:00,189,189,0
BLR,GAU,1323,2023-09-27,0,189,10:00,189,189,0
BLR,GAU,1323,2023-09-28,4,189,10:00,189,189,0
BLR,GAU,1134,2023-09-28,20,189,10:00,189,189,0
BLR,GAU,1134,2023-09-29,20,189,10:00,189,189,0
